duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,label
476,icmp,http,RSTOS0,955,1222,1,74,779,0.8929310116617523,0.45577212074282625,1,0.7038914448378757,attack
205,tcp,http,S0,7121,47031,2,272,411,0.22178195348345475,0.4139861510286046,210,0.7795458003667167,normal
778,udp,dns,RSTO,790,271,2,744,233,0.202437212189731,0.36881721055931316,432,0.20206268313049025,attack
718,icmp,dns,RSTO,488,292,1,193,435,0.03232076758751168,0.2799644924668965,245,0.521802339613178,attack
394,udp,irc,REJ,717,18270,0,482,215,0.6602278401620624,0.38330361154707804,77,0.6157224900392093,normal
156,udp,ftp,REJ,9462,11256,2,446,107,0.2845641782794327,0.4622280927744553,325,0.06069224546791574,normal
309,udp,ftp,RSTOS0,1519,590,2,369,252,0.45219159995269387,0.7272147586229913,109,0.2317192525596502,attack
355,udp,dns,S0,358,39121,2,15,122,0.37858673201245796,0.20960132124989472,169,0.37575118456154477,normal
816,icmp,http,REJ,2055,1387,1,779,546,0.026280708483499837,0.10279765998463375,277,0.8698328682264165,attack
407,tcp,smtp,RSTOS0,6269,26462,2,336,25,0.43051905242391186,0.7879707809806517,72,0.42054974988832217,normal
370,icmp,telnet,RSTO,500,345,2,962,591,0.33818227657633104,0.9355554408372617,26,0.16837732503122982,attack
255,icmp,irc,RSTOS0,334,45020,1,284,98,0.6065426093709135,0.7887265712201369,265,0.29340904885975383,normal
806,tcp,http,S0,1443,1983,2,257,313,0.4256183170575478,0.8227465944987037,195,0.48616819668291866,attack
259,udp,ssh,S0,2328,20848,1,69,254,0.8863657699364192,0.3184915710166951,467,0.6726216774976714,normal
345,icmp,imap,SF,9070,10043,1,390,427,0.49874502251143604,0.07499425729612985,350,0.002117337754852344,normal
63,icmp,imap,SF,4400,30303,0,304,63,0.25407888534171674,0.3455207293166789,367,0.8686359926559921,normal
259,icmp,ftp,S0,7425,26378,2,149,384,0.3451235518223985,0.08791813164505746,87,0.06777690940256864,normal
646,tcp,ftp,S0,2354,1695,1,366,793,0.4318701396797947,0.5209168420766012,327,0.17257086895886642,attack
463,tcp,imap,S0,2295,24111,0,40,137,0.6677643563536141,0.2976547337760497,298,0.2406469549775142,normal
109,icmp,telnet,REJ,770,41159,0,240,106,0.5868927622823423,0.7703552508283321,39,0.102950452316242,normal
234,tcp,http,SF,2112,35483,2,51,189,0.5944357009464011,0.8755286509328855,469,0.9713022380729155,normal
169,icmp,smtp,REJ,1817,44606,2,398,477,0.12465796865678891,0.5663004668819045,60,0.1734839203518027,normal
499,tcp,smtp,SF,5858,44832,2,437,427,0.07277478165509288,0.517269771845478,95,0.03547225583836833,normal
315,tcp,telnet,RSTOS0,5156,48221,1,98,44,0.8840392252371658,0.003730914778113048,358,0.12228798636774751,normal
253,udp,ssh,S0,9674,23063,1,331,264,0.40355961589309886,0.5901065298506963,189,0.05331340110120697,normal
624,udp,ftp,RSTO,2563,539,1,876,299,0.8091047864237282,0.8195131063788172,475,0.8697659795848107,attack
11,tcp,irc,RSTO,2486,41381,2,187,301,0.5668605333081277,0.1878792342729354,331,0.2688629241118895,normal
356,tcp,pop3,RSTO,1412,1170,0,229,86,0.19200507388327748,0.28586433522670907,494,0.8887337623217414,attack
475,tcp,dns,RSTO,8613,44738,2,137,97,0.8029353031038082,0.777005460495953,354,0.38012319092760916,normal
147,udp,ftp,SF,9381,16144,1,88,472,0.7660555722137676,0.15786666757674417,272,0.8525590216611222,normal
290,tcp,irc,REJ,4991,16245,0,156,217,0.9034493586559358,0.92717080484736,290,0.20522802709178523,normal
119,tcp,http,RSTO,1217,38650,0,37,137,0.5845955408466743,0.5951931875192075,18,0.7600379150757641,normal
192,icmp,irc,REJ,2851,9955,1,61,337,0.542752277749765,0.2941006855463433,19,0.23946525783414085,normal
227,icmp,smtp,S0,8671,37642,2,136,71,0.9550661959286915,0.9864744063027552,1,0.3633727676533185,normal
267,udp,http,RSTO,3503,1343,1,213,509,0.6860951997980907,0.654724384117727,172,0.7342514687623498,attack
295,tcp,pop3,RSTO,6933,46065,0,275,41,0.5453542816604049,0.7163997107228298,488,0.7903600199829597,normal
626,tcp,ftp,S0,664,571,2,2,249,0.6951680358657406,0.5221300324669672,451,0.803760613572496,attack
293,tcp,pop3,S0,8968,13674,1,388,82,0.08019228903968934,0.02437613063350541,463,0.814576296085841,normal
246,icmp,telnet,SF,5657,20572,0,5,183,0.8114693191033808,0.8277012989039136,493,0.3535400720269517,normal
167,udp,dns,RSTO,5512,48099,1,211,458,0.5619611711956284,0.13741784684439529,155,0.14421915166304167,normal
324,tcp,ftp,REJ,784,1163,1,376,808,0.7128542336722713,0.549815920587453,247,0.7167312071234383,attack
314,udp,telnet,RSTO,5860,46778,2,335,383,0.6087844266374145,0.2366126611163718,81,0.029985016520006402,normal
35,icmp,ssh,RSTO,3260,30565,0,139,450,0.04997078906551655,0.4160042615948969,79,0.7526517371990183,normal
61,icmp,imap,SF,7168,44051,0,428,60,0.7808153088147861,0.7426301304033663,76,0.6306523413140612,normal
60,udp,pop3,SF,9826,24341,0,433,411,0.4835853148756044,0.7591144997538712,55,0.7287089737454736,normal
338,udp,pop3,S0,7092,19834,1,134,180,0.5719320811917366,0.34261521484347235,150,0.5958967124088339,normal
462,udp,ftp,S0,7610,13930,2,478,478,0.06711932438375345,0.1358236769266825,5,0.08073264291530635,normal
369,udp,dns,SF,5785,10260,2,82,103,0.1813578486078259,0.7013227509062755,324,0.5416815466401577,normal
237,icmp,ftp,RSTO,4285,1694,1,634,527,0.2837531983731906,0.40578218646853825,18,0.220145867905998,attack
161,icmp,smtp,S0,9744,35758,2,101,88,0.007470684201027256,0.5116167517462242,269,0.08156233865637852,normal
718,tcp,ftp,RSTO,2719,587,1,372,632,0.6135007332111027,0.7968060615211314,238,0.47139068439407505,attack
214,tcp,ssh,RSTOS0,7321,40415,0,250,236,0.8000763902993364,0.7495660635123063,194,0.7802628243179293,normal
89,tcp,ssh,RSTOS0,2683,9744,1,384,476,0.5390182220137874,0.11075895768237376,254,0.3820412217612943,normal
492,tcp,ftp,RSTO,8752,22675,0,486,191,0.8059033828813085,0.1555742767712297,414,0.3798347154218068,normal
396,tcp,dns,S0,8695,40137,0,380,186,0.8672732197091927,0.5701835224899381,283,0.07759181950651639,normal
273,tcp,dns,SF,9642,36684,2,84,148,0.9814689866805686,0.3111538919207907,207,0.5654379420656599,normal
102,tcp,telnet,REJ,7404,31643,0,241,296,0.5859820140236156,0.7172307697285148,449,0.10377812137645082,normal
432,icmp,ftp,RSTO,3835,18118,2,290,277,0.3066666048820813,0.7396921534667567,369,0.6435476501021249,normal
739,icmp,telnet,RSTO,441,871,1,743,140,0.5501979894511905,0.6562448621712103,127,0.4063391546375662,attack
397,udp,irc,REJ,8525,46122,1,237,428,0.9766654321874082,0.6072732247697117,304,0.7916372315612232,normal
268,tcp,pop3,RSTO,3066,30272,2,375,250,0.7344110309087452,0.7129875324463042,424,0.20140833364373356,normal
295,udp,imap,RSTOS0,3859,1986,1,415,386,0.7598175978318945,0.6547598816421494,220,0.16956530457268626,attack
493,tcp,ftp,RSTOS0,1915,28440,0,256,127,0.4335823500339999,0.3673251021807581,120,0.18499142390176093,normal
324,tcp,pop3,SF,2956,361,0,202,889,0.9176431414103554,0.4701730690933015,244,0.20976743322841696,attack
186,udp,irc,SF,8712,18198,1,163,429,0.4538895004846818,0.6568196473860396,25,0.4518842438751203,normal
370,tcp,smtp,RSTOS0,2596,41212,1,38,5,0.4470679987550289,0.23855785498161908,284,0.6900912503625212,normal
295,tcp,telnet,RSTOS0,5843,20300,0,287,225,0.825867593700604,0.7610833903317611,173,0.4342774629255072,normal
376,tcp,irc,REJ,617,39442,0,121,349,0.24650300950980641,0.5634717627307392,469,0.8295552640787399,normal
471,udp,imap,SF,6868,34855,2,413,170,0.6479258896665372,0.4173094014251888,337,0.556898744540673,normal
92,icmp,http,RSTOS0,8597,30630,1,324,186,0.06521267458334756,0.6313007464172745,85,0.06656217029875666,normal
362,icmp,ssh,REJ,1562,10068,2,189,430,0.5599019304103781,0.36396390738363016,357,0.32536990080887407,normal
743,udp,telnet,RSTO,3331,1285,1,861,656,0.8984900292085558,0.25191807765741825,297,0.8946414197627938,attack
21,udp,imap,RSTOS0,468,27492,2,128,99,0.20423150552022995,0.9279675351598897,102,0.9984892024699603,normal
366,udp,irc,S0,4332,45275,2,202,280,0.427033791072572,0.217737549019144,15,0.4462116471886809,normal
185,tcp,http,SF,1489,20809,0,68,109,0.5615041677899073,0.8832030341481735,488,0.7403945798243103,normal
80,udp,imap,REJ,2374,249,1,557,171,0.1917857232456499,0.19586599180712394,133,0.5675061284025514,attack
118,icmp,irc,RSTOS0,1150,29952,2,372,317,0.39269363103478694,0.28002687156018324,488,0.6945438466186822,normal
333,tcp,ftp,RSTO,1447,12158,2,280,151,0.35296564361898053,0.5754797245491265,268,0.22999041331521675,normal
481,udp,ssh,RSTOS0,4865,34007,2,443,303,0.3193442400276957,0.8131391180141432,222,0.03960720474006085,normal
517,udp,http,SF,4383,1975,1,932,623,0.780939752414978,0.36338587949442924,204,0.5686283282793788,attack
75,udp,ftp,REJ,5961,28614,1,16,213,0.6796005638656374,0.05793968519521586,231,0.39707053111724644,normal
171,udp,imap,RSTO,6283,1816,2,408,308,0.15953449412566123,0.5559339860880038,312,0.41594072984109887,normal
460,icmp,irc,RSTOS0,8910,45420,1,376,106,0.2530309518799695,0.17521627899508851,220,0.19683092685801107,normal
279,udp,dns,REJ,793,15450,2,182,124,0.2649975052171575,0.031022979171698828,45,0.6884010044646851,normal
148,icmp,pop3,RSTO,8195,25865,2,387,377,0.17223728843719377,0.29550711070472235,11,0.6548503644238051,normal
303,udp,ftp,SF,7576,2278,2,471,60,0.23835059031796446,0.9714076542163368,404,0.8977613900854511,normal
54,icmp,telnet,REJ,327,368,1,317,577,0.06098492040799197,0.3852608122599366,88,0.7704350194078091,attack
394,tcp,http,SF,348,8334,1,67,64,0.975704036618496,0.9608804494101135,368,0.30361103369775877,normal
476,udp,imap,SF,6464,109,0,425,28,0.12542638002078432,0.33291334128064,18,0.3118933515159078,normal
267,tcp,ftp,REJ,3571,22377,0,322,45,0.38218451988504665,0.1085534958778106,204,0.018130545863014325,normal
339,udp,http,RSTO,7911,34930,1,294,175,0.14432729155620838,0.16263109587770008,243,0.8731020895265181,normal
881,udp,http,SF,275,1575,0,803,776,0.8329917642535474,0.22698481607237742,11,0.9463838223737496,attack
26,tcp,dns,RSTOS0,4653,33245,2,63,344,0.32324790860065566,0.6008367446495038,465,0.308786227658028,normal
17,icmp,irc,RSTO,2881,48532,1,261,434,0.2581903586156227,0.2946898506349036,156,0.310170389578698,normal
59,tcp,telnet,REJ,1967,21739,2,193,181,0.49425961110409466,0.7409634945457608,477,0.37339261770614074,normal
424,udp,smtp,SF,2755,25163,2,101,393,0.10614874848925737,0.26185906083657584,345,0.7760483145780492,normal
126,icmp,telnet,SF,5799,43903,2,77,243,0.8336721421076496,0.9755738762371727,297,0.4487420227293315,normal
871,icmp,imap,S0,2458,891,2,4,452,0.7843565455179429,0.3548803687165155,308,0.9087460707874946,attack
97,tcp,telnet,RSTO,8835,22032,0,114,400,0.8464393697106124,0.5765561651617974,204,0.3479052556433826,normal
175,icmp,telnet,REJ,2119,23830,2,256,366,0.3952835805005138,0.900276901895733,270,0.11111819206436113,normal
217,tcp,pop3,SF,8774,9386,1,241,486,0.49519022471681884,0.3623643833354736,454,0.5947981001882516,normal
285,tcp,telnet,REJ,6190,13026,2,216,163,0.22091245485479527,0.8730477556055222,142,0.1297426612099739,normal
485,udp,dns,RSTO,1048,9231,2,440,394,0.9637297785974618,0.679268442467408,167,0.2665896031358316,normal
83,icmp,dns,SF,7007,27576,2,36,71,0.9336643819747221,0.9920532906094193,431,0.5746940444675501,normal
47,icmp,pop3,RSTOS0,5319,29268,1,36,206,0.604002799044515,0.811111368211255,445,0.7738413350275868,normal
89,udp,telnet,RSTOS0,9878,36699,2,114,485,0.2499821659169742,0.43430783666038053,278,0.347391733151325,normal
59,icmp,ssh,RSTO,977,26845,1,119,124,0.2582998388817572,0.05913646886259283,216,0.15887985000554472,normal
80,tcp,ssh,RSTOS0,5031,10097,2,285,298,0.874523985641134,0.5577798748306356,27,0.7680675160518147,normal
475,udp,ssh,RSTOS0,6971,48360,2,248,166,0.911615862271614,0.4605235148599116,248,0.913389645033844,normal
423,tcp,dns,SF,7126,43127,1,143,236,0.5311012820441634,0.1271989302485308,374,0.6383054965880086,normal
210,tcp,dns,S0,2714,7612,0,80,43,0.9788529656707146,0.005194492764567182,344,0.43269085508444516,normal
507,icmp,irc,SF,4558,398,2,419,343,0.8595643462412019,0.5821852598355414,364,0.5015976288420517,attack
274,tcp,smtp,RSTO,288,5825,2,488,112,0.76432898191258,0.22169036825494737,447,0.2641685198951672,normal
289,udp,telnet,SF,9827,3949,2,133,126,0.6940364744863313,0.2965378224121822,423,0.6788902173718401,normal
428,tcp,ssh,SF,1154,21269,2,392,65,0.029675866659904737,0.716124820807713,28,0.8085240139188902,normal
246,tcp,http,S0,4452,49913,1,84,440,0.31816133859157003,0.8233766483069195,410,0.22352116420969304,normal
390,tcp,pop3,RSTO,6608,2292,0,228,351,0.6871221310200719,0.19229210992925982,209,0.5156344706119111,normal
789,udp,http,SF,4053,328,2,859,572,0.698230847735544,0.5218988004767541,375,0.9111961707498895,attack
631,udp,smtp,SF,102,1027,2,479,464,0.8031754201973744,0.2990298492910144,365,0.2905645072948261,attack
218,tcp,ftp,REJ,3023,43526,2,387,275,0.7427227507120846,0.15781067454491593,26,0.4901347975780447,normal
197,tcp,ftp,RSTOS0,2535,16939,1,405,263,0.7343070605501117,0.3077016825069958,426,0.5243606906560275,normal
148,icmp,ssh,RSTOS0,4780,20262,1,103,169,0.31203475812333403,0.1095152473396388,17,0.7860343026734359,normal
457,udp,ftp,RSTOS0,4183,392,1,754,116,0.7238004158070009,0.6952015782011264,125,0.7516454491145096,attack
410,tcp,pop3,SF,5231,7911,0,87,100,0.6101249229981065,0.8736590316919295,372,0.500623357401575,normal
275,udp,http,S0,6137,33261,2,322,136,0.7617542943987393,0.736824823162222,224,0.6328568606510329,normal
218,icmp,pop3,S0,1696,36793,2,4,457,0.14611136058146468,0.13844003523403892,376,0.5728672656001615,normal
314,tcp,http,RSTO,356,1713,2,488,217,0.7886281929915411,0.9147965854669137,269,0.5812177775972195,normal
480,tcp,irc,RSTO,5775,45019,2,50,370,0.08703098758689021,0.9730969676234474,37,0.5093704936230626,normal
494,icmp,pop3,RSTOS0,6899,4223,0,214,478,0.28139858912045346,0.5629728584395627,182,0.11734997898245048,normal
446,tcp,dns,REJ,2176,15302,1,340,240,0.19068573543736655,0.05514690817032153,392,0.6309037148547754,normal
313,tcp,pop3,SF,3695,4562,1,339,3,0.048068838058429875,0.4302478267313734,138,0.9257657683843933,normal
382,tcp,imap,SF,9966,41672,0,263,232,0.8657311868828067,0.3469527361265474,177,0.06210215263279628,normal
109,udp,irc,RSTOS0,4609,48509,2,50,133,0.007933742097972596,0.6163047237472898,254,0.6716442796727581,normal
138,udp,imap,RSTO,1483,9051,2,217,347,0.19267496819004215,0.8899473405518775,470,0.6029952003613295,normal
273,udp,smtp,RSTOS0,9482,42284,0,91,131,0.19340626547656103,0.2047547137078578,461,0.05740413397824906,normal
400,udp,pop3,SF,2801,34413,0,141,232,0.16567035415758302,0.7080912007121719,147,0.5353299549772499,normal
683,udp,dns,S0,118,829,0,807,459,0.34089696099867817,0.27911702171998165,183,0.8452236289040357,attack
208,tcp,dns,REJ,3073,3644,0,472,141,0.016841015195934617,0.39633518213790586,394,0.5557753876081704,normal
190,icmp,irc,RSTO,8447,1602,1,280,223,0.6046922654017522,0.1746237680359467,108,0.6040691467375701,normal
133,tcp,pop3,SF,3474,44740,1,376,211,0.30264601319738305,0.7789068899598479,374,0.521046318590539,normal
161,udp,ssh,RSTO,5066,38402,1,429,414,0.23412051465857975,0.2098307119820263,315,0.8361253379376219,normal
112,icmp,smtp,S0,7869,22518,1,66,47,0.06614587216275658,0.6122225024410692,89,0.5842066785115605,normal
147,tcp,smtp,RSTO,3818,44082,2,379,251,0.5080179187207041,0.5881835591567188,15,0.381525901081453,normal
444,tcp,imap,RSTOS0,1672,28604,1,467,311,0.7928655644774464,0.2525637555098975,161,0.7213474071655547,normal
350,icmp,ftp,SF,2928,46854,0,319,233,0.3122047432591287,0.3818232547592416,493,0.7527925194438116,normal
355,udp,dns,RSTOS0,9525,47661,1,197,491,0.2977202601358906,0.702630583209661,337,0.6676449357257486,normal
376,udp,imap,RSTOS0,4041,48871,1,90,468,0.5209586561598897,0.3145594092129136,121,0.7503461310145504,normal
158,icmp,ssh,SF,6997,38556,0,390,346,0.18960092004104223,0.6981301832729021,462,0.8877360691850943,normal
456,icmp,ssh,SF,5675,40552,0,80,308,0.19963585646365045,0.02413742184253953,415,0.6126941995656786,normal
179,tcp,ftp,SF,3140,432,0,616,489,0.21457985041956384,0.18710646077419146,499,0.17193655535121477,attack
238,udp,pop3,RSTOS0,2698,810,2,934,514,0.6046438355177813,0.16939962249757212,303,0.020033702083680938,attack
140,udp,telnet,S0,180,1731,1,689,187,0.5639302050246265,0.8700316703892286,324,0.36084166953740615,attack
181,icmp,telnet,RSTOS0,1241,1373,1,122,227,0.5224874439487512,0.3185916951465455,383,0.11470296844222638,normal
65,tcp,ssh,REJ,1356,39955,1,190,429,0.20027603781364345,0.24605683179800986,98,0.6870549360298501,normal
91,udp,ssh,S0,4770,301,0,574,709,0.529810316864313,0.31141974211712975,379,0.4014668467284196,attack
461,udp,ssh,SF,860,47887,2,90,210,0.5962106998561777,0.9941292889648097,53,0.24389901293873428,normal
464,udp,dns,REJ,7206,23667,2,79,441,0.7847113786995289,0.19041233932829227,41,0.008347680508422162,normal
385,icmp,smtp,S0,1930,5784,2,379,216,0.18629886063526735,0.3580764673647915,148,0.27504570198140965,normal
294,udp,imap,RSTO,5528,6954,0,346,458,0.9357106349693205,0.6946807875504998,176,0.9573469993101106,normal
66,udp,ssh,RSTOS0,8221,2997,2,485,267,0.222857309932729,0.06829773697889807,233,0.5472793815952345,normal
753,tcp,irc,REJ,4840,1360,0,862,668,0.17688622305745294,0.29442150460103833,301,0.113799938508381,attack
250,icmp,dns,SF,5209,44692,0,9,421,0.46037816504943985,0.45856308770073084,473,0.018896526856514106,normal
318,udp,dns,RSTOS0,3432,3089,0,372,279,0.07328981158700254,0.6952512329577897,368,0.1955360089369338,normal
143,udp,smtp,SF,3069,1967,1,212,48,0.5860911684568403,0.05824240633201383,161,0.7577723351507099,attack
109,icmp,telnet,S0,6568,49991,0,46,145,0.8406503247411253,0.33201495003844905,285,0.18251483101331833,normal
9,udp,pop3,S0,723,40180,0,266,144,0.9084170630673277,0.11930072325295149,383,0.6039713279751882,normal
205,tcp,ssh,REJ,8202,11481,0,365,100,0.2864573477563108,0.01632519766810081,163,0.9135904905004543,normal
125,tcp,ssh,RSTO,537,32891,1,172,115,0.6815114574129173,0.416027252603275,344,0.4322868041604657,normal
296,icmp,pop3,S0,9783,5729,1,421,358,0.49139665733010973,0.8436152997646714,341,0.8610648376368388,normal
189,tcp,pop3,S0,2321,24538,0,253,463,0.028364460979974915,0.8683310754629643,283,0.7313034627080272,normal
370,udp,ftp,RSTOS0,5032,17005,2,295,471,0.5830861041838166,0.21425029954278985,73,0.8428535161476322,normal
154,tcp,telnet,REJ,3580,11613,1,64,183,0.9071045605475243,0.032433320339974925,394,0.9948175328460255,normal
253,tcp,telnet,S0,4019,46053,0,312,268,0.9449449711206552,0.6649567656784774,363,0.23794918863197445,normal
795,tcp,smtp,S0,2231,1849,1,411,76,0.3954265555058305,0.6404766896819821,296,0.5563900087833972,attack
324,udp,ssh,SF,2688,20426,1,109,296,0.0920815404689238,0.3280447885783947,62,0.29864281039426344,normal
35,icmp,telnet,S0,3738,8243,1,216,115,0.8809698887250749,0.8106164810003058,367,0.8817695863533437,normal
328,udp,ssh,REJ,8743,37426,2,372,246,0.3849560549354558,0.5310236942968242,275,0.5126400224830923,normal
985,tcp,dns,S0,1604,914,1,115,254,0.6801035442845684,0.5868624755723052,146,0.7556700696011291,attack
153,tcp,http,REJ,7066,25844,2,309,404,0.596635849881623,0.6501374118018846,411,0.22344622774397382,normal
424,icmp,smtp,RSTO,4142,37776,0,152,238,0.09196155269916162,0.24804630350265744,254,0.038674193696136006,normal
106,udp,smtp,RSTOS0,503,45198,1,394,465,0.22771605717480414,0.5105706217599958,296,0.9785385133978797,normal
413,icmp,ssh,RSTOS0,5391,36586,1,298,311,0.6964701507072828,0.15204436681466527,412,0.008489248893897683,normal
196,tcp,ftp,REJ,7007,18183,0,295,166,0.5626864880333017,0.4809909957427998,337,0.5563639066369808,normal
118,tcp,smtp,SF,4623,35035,1,384,236,0.6088915468485037,0.36490148602606276,180,0.25315977997474615,normal
263,icmp,imap,REJ,4321,1112,0,604,23,0.7460362318849729,0.020626121400147746,485,0.41967413307397483,attack
472,icmp,telnet,S0,4687,17674,2,330,398,0.3570480894166259,0.7096750948794159,466,0.06269766394223797,normal
116,tcp,ftp,RSTOS0,8941,4814,2,475,348,0.5000904226171115,0.02395566339504085,32,0.08554167514339861,normal
294,icmp,imap,RSTOS0,3840,1477,0,721,189,0.28388183011972534,0.9684062357230492,236,0.6016167188409431,attack
223,tcp,telnet,RSTO,4647,42506,1,486,216,0.36717157108077947,0.047411975094178826,437,0.3379820625193235,normal
195,udp,dns,RSTO,3419,26898,1,213,181,0.11670280081525009,0.9515955021621139,36,0.0757937373510047,normal
306,tcp,ssh,S0,4810,505,1,1,423,0.9961309760734187,0.04172045985839212,152,0.4832818846020438,normal
849,udp,irc,SF,2569,1303,1,226,584,0.5241699793436531,0.8386393329548034,342,0.6891295178173057,attack
395,udp,telnet,RSTO,5183,25112,1,381,47,0.35175756723622953,0.9891397510452915,216,0.08546089269163581,normal
316,tcp,telnet,RSTOS0,4741,12799,0,96,279,0.7833791303081712,0.797444260196377,193,0.27136647782206935,normal
333,icmp,irc,S0,8242,18149,0,404,135,0.08405923794102976,0.6551943239238213,112,0.6204728430460785,normal
407,tcp,ftp,S0,246,43675,2,27,221,0.8606758593498712,0.05200244589218617,462,0.5368927403640806,normal
314,icmp,ssh,RSTOS0,2709,1340,0,520,340,0.6377392192216056,0.8906360886808272,348,0.6415246472074878,attack
428,udp,irc,RSTOS0,8369,4817,0,277,117,0.06766500590790647,0.45201639530851057,118,0.9930370163937596,normal
274,udp,smtp,REJ,2260,329,1,818,842,0.7081919447262042,0.18973631205286123,227,0.0029504616994813215,attack
104,tcp,imap,SF,1228,7342,0,439,198,0.6629911971389482,0.3906747191855894,248,0.8281213461656236,normal
45,tcp,dns,RSTO,7375,2425,1,425,21,0.30419562973271086,0.5314553048765207,404,0.1220779196503845,normal
165,udp,smtp,SF,3550,46926,1,355,73,0.3653878012429278,0.4762238510585629,399,0.8593597779311185,normal
370,udp,imap,RSTO,6755,39264,0,328,366,0.9256810070250857,0.7804773305713535,160,0.6215035343806836,normal
490,tcp,ftp,RSTOS0,9078,24447,2,480,64,0.9433562700169744,0.4603067520048578,285,0.3110525176825194,normal
235,tcp,http,RSTOS0,5028,37103,2,64,380,0.1283478415365371,0.372610190696967,296,0.9930688433455097,normal
595,icmp,smtp,RSTOS0,4066,1832,1,361,726,0.6873948286321777,0.7095597133146874,24,0.5200428326284956,attack
25,udp,pop3,RSTO,2966,48248,2,175,80,0.8881250404460186,0.16620056736630773,464,0.04028214665058727,normal
138,udp,http,RSTO,844,1228,0,269,198,0.999992042302966,0.7811670754243181,189,0.9686545726983594,attack
279,tcp,pop3,RSTOS0,2344,7810,0,58,287,0.10535023892236128,0.16515415807516776,214,0.8720111796387982,normal
822,icmp,irc,S0,2736,1351,2,101,590,0.778328466755506,0.8589062141644546,327,0.6219229328122463,attack
90,udp,irc,SF,6536,41142,1,341,425,0.6220001533129509,0.4877851826226335,410,0.8391115399341128,normal
233,tcp,irc,SF,4158,25106,2,466,23,0.5191962965129565,0.013917420116694945,369,0.16903046307756098,normal
62,tcp,irc,RSTOS0,1516,24627,2,384,239,0.834465957429185,0.9274295094143692,94,0.31507376572504775,normal
41,tcp,http,REJ,5431,41977,1,91,210,0.3444243252892102,0.5648321256850177,290,0.014082334085325776,normal
195,udp,http,REJ,1033,15427,1,369,97,0.47990384355002236,0.6555618405393181,310,0.3322325988385738,normal
126,icmp,dns,S0,5354,34053,0,256,265,0.9144906616130566,0.07466330709431346,286,0.4993594665458534,normal
104,tcp,imap,RSTO,3393,14922,0,237,234,0.4039031137837422,0.4016295261820936,152,0.07673209185274821,normal
76,tcp,dns,SF,809,28295,0,426,257,0.8727744596449202,0.09993621042976752,239,0.5389428954738535,normal
313,tcp,smtp,RSTO,5904,43640,0,402,275,0.49707392552019725,0.28507939250514436,318,0.8503750144235958,normal
401,icmp,imap,RSTO,7340,49643,2,213,445,0.7647552222772703,0.731126857560897,405,0.8175512898405988,normal
164,tcp,telnet,S0,5296,4280,1,387,191,0.5168143552325256,0.38123735467902975,34,0.5236701300825041,normal
265,tcp,telnet,S0,2629,43927,0,376,177,0.13302954599319283,0.7230555969885584,85,0.900713909685019,normal
439,icmp,telnet,SF,3595,75,0,667,633,0.9335663509444078,0.3197733424555962,209,0.23297235919752046,attack
499,udp,irc,S0,6004,32024,1,248,234,0.6892241314982004,0.05342665624479859,402,0.16844103557433832,normal
485,icmp,imap,S0,8187,10936,1,109,472,0.6378099844857796,0.13334413945922385,404,0.23900026932926022,normal
